,mavpackettype,time_boot_ms,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,alt,relative_alt,vx,vy,vz,hdg
0,UAV_ATTITUDE,0,0.020393036305904003,0.012542852200567,0.295718073844909,-0.001011445187032,-0.001186277018859,-0.00011346361134200001,,,,,,,,
1,GCS_ATTITUDE,0,-0.023364951834082003,0.12352313101291601,-0.12260140478610901,0.000993494875729,0.00039496843237400004,0.00047098167124200006,,,,,,,,
2,GCS_ATTITUDE,100,-0.023374499753117003,0.12350120395421901,-0.12261423468589701,-0.00015023536980100002,0.000763433403335,0.000189007609151,,,,,,,,
3,UAV_ATTITUDE,100,0.020423073321580002,0.012551578693091,0.295651495456695,-0.00014925282448500002,3.638467751443386e-05,-0.000859300780575,,,,,,,,
4,UAV_GLOBAL_POSITION_INT,140,,,,,,,427246759.0,-844808016.0,274120.0,2186.0,-1.0,-2.0,0.0,1693.0
5,UAV_ATTITUDE,200,0.020348083227872002,0.012535940855741001,0.295630574226379,0.00011686049401700001,-0.0017176603432740001,5.434034392237663e-06,,,,,,,,
6,GCS_ATTITUDE,200,-0.023289494216442,0.12350647896528201,-0.122639246284961,0.001261396333575,0.000861462787725,0.000663478334899,,,,,,,,
7,GCS_GLOBAL_POSITION_INT,271,,,,,,,427245943.0,-844808901.0,274430.0,2493.0,2.0,0.0,0.0,35298.0
8,UAV_ATTITUDE,300,0.020351603627204,0.012533183209598,0.295623689889907,-0.0008183866739270001,0.000797791290096,0.000345724809449,,,,,,,,
9,GCS_ATTITUDE,300,-0.023221433162689,0.123452901840209,-0.12261756509542401,-0.000538584776222,-0.00045010028406900003,0.001064416952431,,,,,,,,
10,UAV_ATTITUDE,400,0.020374670624732003,0.012547639198601001,0.295626163482666,0.000580967403948,0.000820768182165,-0.00056083430536,,,,,,,,
11,GCS_ATTITUDE,400,-0.023179471492767,0.123422384262084,-0.12267412245273501,0.0009391531348220001,0.000363178201951,-0.0006564443465320001,,,,,,,,
12,UAV_GLOBAL_POSITION_INT,473,,,,,,,427246758.0,-844808017.0,274120.0,2183.0,0.0,-2.0,0.0,1693.0
13,GCS_ATTITUDE,500,-0.023210482671856002,0.123347416520118,-0.1226472184062,-0.0014940816909070002,0.0006393558578560001,0.00150467432104,,,,,,,,
14,UAV_ATTITUDE,500,0.020393330603837002,0.012493639253079001,0.29565182328224104,-0.00010357331484500001,-0.001026688609272,0.0012139299651600002,,,,,,,,
15,GCS_ATTITUDE,600,-0.023152021691203003,0.123317994177341,-0.122614011168479,0.0007575955241910001,-0.0008890065364530001,0.000142987410072,,,,,,,,
16,UAV_ATTITUDE,600,0.020415656268596,0.012505431659519001,0.295635610818862,-0.0008371900767080001,-0.000543453963473,-0.0007994440384200001,,,,,,,,
17,GCS_GLOBAL_POSITION_INT,606,,,,,,,427245945.0,-844808901.0,274420.0,2482.0,2.0,0.0,1.0,35298.0
18,GCS_ATTITUDE,700,-0.023183647543191,0.12336459010839401,-0.122642025351524,0.0005338815972200001,0.000245259609073,0.0008478629752060001,,,,,,,,
19,UAV_ATTITUDE,700,0.02042281627655,0.012454907409846,0.295611023902893,0.0008714366704220001,-0.00102689792402,-0.0007701323484070001,,,,,,,,
20,GCS_ATTITUDE,800,-0.02324129268527,0.12343645840883201,-0.12264870107173902,-0.0012588193640110002,0.0016130981966850002,-0.00047198298852800004,,,,,,,,
21,UAV_ATTITUDE,800,0.020458366721868,0.012398244813084,0.295682787895202,0.00040078908205,-0.000663662794977,0.0012816060334440002,,,,,,,,
22,UAV_GLOBAL_POSITION_INT,806,,,,,,,427246757.0,-844808018.0,274120.0,2183.0,0.0,-2.0,0.0,1694.0
23,UAV_ATTITUDE,900,0.020440682768821,0.012363568879663,0.295710772275924,-0.0008224714547390001,0.000532714650034,0.0010421540355300002,,,,,,,,
24,GCS_ATTITUDE,900,-0.023345507681369,0.123432748019695,-0.122607693076133,-0.000240168534219,-0.0006515856366600001,0.0014068316668270002,,,,,,,,
25,GCS_GLOBAL_POSITION_INT,938,,,,,,,427245948.0,-844808902.0,274410.0,2471.0,2.0,0.0,1.0,35298.0
26,GCS_ATTITUDE,1000,-0.023316413164138003,0.123493745923042,-0.12260758876800501,0.000130414031445,0.00094797136262,0.0011948224855580002,,,,,,,,
27,UAV_ATTITUDE,1000,0.020431507378816,0.012373778969049001,0.295716613531112,-0.0013673007488250002,-0.00054986285977,-0.00041548901936000005,,,,,,,,
28,UAV_ATTITUDE,1100,0.020510133355855,0.012345965020358,0.29573807120323103,0.000702984631061,0.0008606646442780001,8.228246588259935e-05,,,,,,,,
29,GCS_ATTITUDE,1100,-0.023300822824239002,0.12349782139062801,-0.12267483025789201,0.001131396740674,-0.000825963215902,-0.0012009791098530002,,,,,,,,
30,UAV_GLOBAL_POSITION_INT,1138,,,,,,,427246756.0,-844808020.0,274110.0,2179.0,0.0,-2.0,0.0,1694.0
31,UAV_ATTITUDE,1200,0.020453490316867003,0.012345585040748001,0.29579371213912903,-0.00012353807687700001,-0.000598593614995,-0.00015387660823700002,,,,,,,,
32,GCS_ATTITUDE,1200,-0.023285456001758003,0.12352585047483401,-0.12266746163368202,-0.00042934063822,0.00044986559078000004,0.0005717892199750001,,,,,,,,
33,GCS_GLOBAL_POSITION_INT,1271,,,,,,,427245949.0,-844808902.0,274400.0,2466.0,2.0,1.0,1.0,35298.0
34,UAV_ATTITUDE,1300,0.020435061305761,0.012292025610804001,0.295864909887313,-0.001393240876495,-0.00036510149948200003,0.000655096722766,,,,,,,,
